id;name;type;mttf;eff;aquisitionCost
1;UPS_5kVA1;UPS_5kVA;29860.036774222994;96.04908138641163;14764.242955987567
2;UPS_5kVA2;UPS_5kVA;48823.36534003206;96.31307426889026;14335.336164282366
3;UPS_5kVA3;UPS_5kVA;59402.96575886762;91.8658499161232;16560.536519736557
4;UPS_5kVA4;UPS_5kVA;53958.72753652782;95.8440325835564;16339.09126347323
5;UPS_5kVA5;UPS_5kVA;32599.680980490608;95.37084357064114;14182.545164101386
6;UPS_5kVA6;UPS_5kVA;28845.123373347633;97.7084129170653;13063.558295703604
7;UPS_5kVA7;UPS_5kVA;25156.26467293766;98.69772550831578;18599.05396440954
8;UPS_5kVA8;UPS_5kVA;52261.90999059715;98.03479305349977;14621.22156558392
9;UPS_5kVA9;UPS_5kVA;55901.474356463266;94.79987505913083;13244.403712188685
10;UPS_5kVA10;UPS_5kVA;54491.335826389084;95.87842261441652;17328.061038420594
11;UPS_5kVA11;UPS_5kVA;35698.798157810015;92.94797913940215;18693.401466333722
12;UPS_5kVA12;UPS_5kVA;46082.77480065999;99.17509582722616;18700.799829547715
13;UPS_5kVA13;UPS_5kVA;70205.12931479595;95.54112572998702;11607.765230285546
14;UPS_5kVA14;UPS_5kVA;54744.589441803226;96.00537930158579;11491.928251120506
15;UPS_5kVA15;UPS_5kVA;63483.00100294896;92.13400596246753;18317.227131764517
16;UPS_5kVA16;UPS_5kVA;30157.86723622641;99.19114190044223;11707.226094386338
17;UPS_5kVA17;UPS_5kVA;32007.07008574038;98.9505633733109;18516.239431067013
18;UPS_5kVA18;UPS_5kVA;53223.13333852717;91.3495118812556;11581.18594366939
19;UPS_5kVA19;UPS_5kVA;50416.02797297457;98.89539899683479;11854.168500086362
20;UPS_5kVA20;UPS_5kVA;61780.77355641376;97.70942422866581;13325.173424008206
21;UPS_5kVA21;UPS_5kVA;64231.54755127114;95.69678455550502;17395.068811235236
22;UPS_5kVA22;UPS_5kVA;59706.023181849974;99.33420638527647;11556.158222799459
23;UPS_5kVA23;UPS_5kVA;57073.20904432767;92.93411840538303;16408.841181709227
24;UPS_5kVA24;UPS_5kVA;55831.28764465239;99.83629380763301;17956.807412151225
25;UPS_5kVA25;UPS_5kVA;33113.24628370567;92.97566067725549;18654.103370726156
26;UPS_5kVA26;UPS_5kVA;56097.260753691255;90.84905396837244;11933.599553455597
27;UPS_5kVA27;UPS_5kVA;60701.902655961596;93.46096125104926;11563.761148113323
28;UPS_5kVA28;UPS_5kVA;69228.76131772826;96.73487371871161;15952.897213362558
29;UPS_5kVA29;UPS_5kVA;32411.427045876684;92.74337048140025;17175.515507836448
30;UPS_5kVA30;UPS_5kVA;47963.859466559;98.33551144200997;12446.69093327232
31;UPS_5kVA31;UPS_5kVA;25946.11745299411;90.68965877733864;13053.836115714566
32;UPS_5kVA32;UPS_5kVA;54172.12183730597;96.11223295776843;14642.634222618235
33;UPS_5kVA33;UPS_5kVA;41293.14904250644;93.95210999232461;13158.819130974902
34;UPS_5kVA34;UPS_5kVA;64159.74653656627;98.87728767365269;12566.21859177178
35;UPS_5kVA35;UPS_5kVA;42583.59359299914;96.86348248435857;14376.444142870194
36;UPS_5kVA36;UPS_5kVA;66999.74833313836;92.1948175313224;15567.260131630026
