id;name;type;mttf;eff;aquisitionCost
1;UPS_5kVA1;UPS_5kVA;66015.2504152868;91.28104238112492;12809.990277480214
2;UPS_5kVA2;UPS_5kVA;44190.24349867784;90.9966023791933;13758.736697657923
3;UPS_5kVA3;UPS_5kVA;51533.75537842735;91.18491312738442;18138.22723613329
4;UPS_5kVA4;UPS_5kVA;50941.00677781261;93.82922454215972;17726.1542539051
5;UPS_5kVA5;UPS_5kVA;66119.40188839597;99.68085304860914;12883.948042423568
6;UPS_5kVA6;UPS_5kVA;35686.70622464898;96.8898892294339;14576.55443161267
7;UPS_5kVA7;UPS_5kVA;50582.270209230745;95.37299790286282;12561.816243263856
8;UPS_5kVA8;UPS_5kVA;72901.5116468078;93.48787895469387;18304.724615369596
9;UPS_5kVA9;UPS_5kVA;72748.51280029121;91.37908417931594;17780.16523715347
10;UPS_5kVA10;UPS_5kVA;41112.725150474165;92.66358507418451;13387.844397554509
1;UPS_250kVA1;UPS_250kVA;29397.892035908306;95.59710085408663;15271.703544267446
2;UPS_250kVA2;UPS_250kVA;73499.58155492123;95.88670092134166;11401.090122414947
3;UPS_250kVA3;UPS_250kVA;48214.49786087054;99.49968337534688;18217.673803573984
4;UPS_250kVA4;UPS_250kVA;64327.8360954939;98.48784166406975;15683.866984943808
5;UPS_250kVA5;UPS_250kVA;60515.707623132635;98.05400865814535;16452.914795311386
6;UPS_250kVA6;UPS_250kVA;26660.652964675384;92.22055881131996;12411.522453233012
7;UPS_250kVA7;UPS_250kVA;41104.44509420192;91.06440014664447;13298.524844604699
8;UPS_250kVA8;UPS_250kVA;25929.263388982254;95.16633819620496;16730.70249788265
9;UPS_250kVA9;UPS_250kVA;50167.30753260963;92.8282283800565;12219.954409895021
10;UPS_250kVA10;UPS_250kVA;45857.77674588813;93.32265280555805;17438.99799134516
1;SDTransformer1;SDTransformer;141815.64678718982;97.15478690839835;472.54659870993305
2;SDTransformer2;SDTransformer;272841.3200667114;95.41682385840527;662.8455855043417
3;SDTransformer3;SDTransformer;366687.7282559435;99.82390769515564;447.33106537556694
4;SDTransformer4;SDTransformer;363025.7904289643;95.21830591924335;496.18586970700767
5;SDTransformer5;SDTransformer;240341.3817458517;96.48876484901714;476.8040113205838
6;SDTransformer6;SDTransformer;215162.29384909198;97.1025736188856;574.8586890770093
7;SDTransformer7;SDTransformer;330674.2259851416;98.2875622222106;439.800523987834
8;SDTransformer8;SDTransformer;161989.71500411007;97.16282521041144;425.5017466932485
9;SDTransformer9;SDTransformer;181851.7215844906;99.41075399527665;628.4101822930035
10;SDTransformer10;SDTransformer;325353.8371541764;94.06647007647098;686.9667118273735
1;Subpanel1;Subpanel;206561.35317964386;96.2525127984822;200.18352605854665
2;Subpanel2;Subpanel;392018.4446762353;97.51489178432028;168.1563160092171
3;Subpanel3;Subpanel;400863.6525031859;98.87225301116516;169.55548866249853
4;Subpanel4;Subpanel;352528.0971030614;99.67178946793084;190.8449126606206
5;Subpanel5;Subpanel;284321.02666376473;97.66292360496617;155.95938587811742
6;Subpanel6;Subpanel;356669.2795594068;99.87146405379879;238.82927040589544
7;Subpanel7;Subpanel;192836.20777259715;98.19619849405049;193.8159436434076
8;Subpanel8;Subpanel;369538.26337739476;96.88036656146271;224.97834529543013
9;Subpanel9;Subpanel;438173.9801549834;96.12199310824907;236.51492238458792
10;Subpanel10;Subpanel;334789.3742815984;96.74539467426366;226.93763447884794
1;PowerStrip1;PowerStrip;136809.03442044675;94.95169004969664;213.03014236480402
2;PowerStrip2;PowerStrip;296699.1084007289;95.36566426887131;156.55562391235895
3;PowerStrip3;PowerStrip;297192.55296163005;95.39734224550845;154.85997627968075
4;PowerStrip4;PowerStrip;255932.02627273847;95.41968935427441;169.49354111823595
5;PowerStrip5;PowerStrip;210986.39157899562;97.55493549117045;220.70367425844182
6;PowerStrip6;PowerStrip;118485.0013055508;94.9869393690802;193.80004239379446
7;PowerStrip7;PowerStrip;179382.85258319986;98.237600192141;172.82241161809478
8;PowerStrip8;PowerStrip;121996.7882931388;94.95008367081458;161.86935737366534
9;PowerStrip9;PowerStrip;140334.613907856;99.69899746539215;179.7312754708983
10;PowerStrip10;PowerStrip;303392.8675127533;96.06439072654385;164.22589781390892
1;STS1;STS;39823.69628426666;96.86682009940299;917.4149334669997
2;STS2;STS;66150.58879655431;95.99394849273011;974.3514230817318
3;STS3;STS;40539.184704229905;95.76178963070734;687.4382112268063
4;STS4;STS;31539.587640676953;98.8471836802759;623.7683726914607
5;STS5;STS;62052.68879338926;98.11070953354448;704.4193260383202
6;STS6;STS;25031.745764000174;98.74090180350827;855.5416825296081
7;STS7;STS;61064.5953009861;98.82480136385625;696.3598831411759
8;STS8;STS;58767.12530024072;97.31372751306323;891.6521608361804
9;STS9;STS;34343.49686196086;98.811065435979;790.1085584464903
10;STS10;STS;69418.65526625312;97.76759288429551;920.0462892715288
